meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
201,20250501,202505,2025-05-01,4,22,MINA,750.0,0.0
202,20250401,202504,2025-04-01,1,2,MINA,1100.0,0.0
203,20250401,202504,2025-04-01,1,3,MINA,1100.0,0.0
204,20250401,202504,2025-04-01,13,65,MINA,850.0,0.0
205,20250401,202504,2025-04-01,13,64,MINA,850.0,0.0
206,20250401,202504,2025-04-01,8,40,MINA,1050.0,0.0
207,20250401,202504,2025-04-01,8,43,MINA,1050.0,0.0
208,20250401,202504,2025-04-01,8,42,MINA,1050.0,0.0
209,20250401,202504,2025-04-01,8,41,MINA,1050.0,0.0
210,20250401,202504,2025-04-01,8,34,MINA,1050.0,0.0
211,20250401,202504,2025-04-01,11,52,SUPERFICIE,760.0,0.0
212,20250401,202504,2025-04-01,9,44,MINA,1050.0,0.0
213,20250401,202504,2025-04-01,16,74,SUPERFICIE,900.0,0.0
214,20250401,202504,2025-04-01,16,76,MINA,900.0,0.0
215,20250401,202504,2025-04-01,16,75,MINA,1000.0,0.0
216,20250401,202504,2025-04-01,16,77,MINA,1000.0,0.0
217,20250401,202504,2025-04-01,12,54,SUPERFICIE,800.0,0.0
218,20250401,202504,2025-04-01,12,53,SUPERFICIE,800.0,0.0
219,20250401,202504,2025-04-01,12,60,MINA,800.0,0.0
220,20250401,202504,2025-04-01,12,62,MINA,800.0,0.0
221,20250401,202504,2025-04-01,17,82,MINA,850.0,0.0
222,20250401,202504,2025-04-01,17,80,MINA,850.0,0.0
223,20250401,202504,2025-04-01,17,81,MINA,850.0,0.0
224,20250401,202504,2025-04-01,7,31,MINA,900.0,0.0
225,20250401,202504,2025-04-01,7,33,MINA,900.0,0.0
226,20250401,202504,2025-04-01,7,26,MINA,900.0,0.0
227,20250401,202504,2025-04-01,7,25,MINA,900.0,0.0
228,20250401,202504,2025-04-01,2,5,SUPERFICIE,900.0,0.0
229,20250401,202504,2025-04-01,2,8,MINA,900.0,0.0
230,20250401,202504,2025-04-01,2,9,MINA,900.0,0.0
231,20250401,202504,2025-04-01,2,4,SUPERFICIE,900.0,0.0
232,20250401,202504,2025-04-01,10,51,MINA,1600.0,0.0
233,20250401,202504,2025-04-01,10,48,SUPERFICIE,750.0,0.0
234,20250401,202504,2025-04-01,10,45,MINA,900.0,0.0
235,20250401,202504,2025-04-01,14,68,MINA,1150.0,0.0
236,20250401,202504,2025-04-01,14,69,MINA,1150.0,0.0
237,20250401,202504,2025-04-01,14,67,MINA,1150.0,0.0
238,20250401,202504,2025-04-01,15,73,MINA,900.0,0.0
239,20250401,202504,2025-04-01,15,72,MINA,835.0,0.0
240,20250401,202504,2025-04-01,15,71,MINA,900.0,0.0
241,20250401,202504,2025-04-01,15,70,MINA,900.0,0.0
242,20250401,202504,2025-04-01,20,89,MINA,1150.0,0.0
243,20250401,202504,2025-04-01,20,90,MINA,1150.0,0.0
244,20250401,202504,2025-04-01,20,87,MINA,1150.0,0.0
245,20250601,202506,2025-06-01,4,18,MINA,750.0,0.0
246,20250601,202506,2025-06-01,4,19,MINA,750.0,0.0
247,20250601,202506,2025-06-01,4,17,MINA,750.0,0.0
248,20250601,202506,2025-06-01,4,15,MINA,750.0,0.0
249,20250601,202506,2025-06-01,4,21,MINA,750.0,0.0
250,20250501,202505,2025-05-01,1,2,MINA,1100.0,0.0
251,20250501,202505,2025-05-01,1,3,MINA,1100.0,0.0
252,20250501,202505,2025-05-01,13,65,MINA,850.0,0.0
253,20250501,202505,2025-05-01,13,64,MINA,850.0,0.0
254,20250501,202505,2025-05-01,8,40,MINA,1050.0,0.0
255,20250501,202505,2025-05-01,8,43,MINA,1050.0,0.0
256,20250501,202505,2025-05-01,8,42,MINA,1050.0,0.0
257,20250501,202505,2025-05-01,8,41,MINA,1050.0,0.0
258,20250501,202505,2025-05-01,8,34,MINA,1050.0,0.0
259,20250501,202505,2025-05-01,11,52,SUPERFICIE,760.0,0.0
260,20250501,202505,2025-05-01,9,44,MINA,1050.0,0.0
261,20250501,202505,2025-05-01,16,74,SUPERFICIE,900.0,0.0
262,20250501,202505,2025-05-01,16,76,MINA,900.0,0.0
263,20250501,202505,2025-05-01,16,75,MINA,1000.0,0.0
264,20250501,202505,2025-05-01,16,77,MINA,1000.0,0.0
265,20250501,202505,2025-05-01,12,54,SUPERFICIE,800.0,0.0
266,20250501,202505,2025-05-01,12,53,SUPERFICIE,800.0,0.0
267,20250501,202505,2025-05-01,12,60,MINA,800.0,0.0
268,20250501,202505,2025-05-01,12,62,MINA,800.0,0.0
269,20250501,202505,2025-05-01,17,82,MINA,850.0,0.0
270,20250501,202505,2025-05-01,17,80,MINA,850.0,0.0
271,20250501,202505,2025-05-01,17,81,MINA,850.0,0.0
272,20250501,202505,2025-05-01,7,31,MINA,900.0,0.0
273,20250501,202505,2025-05-01,7,33,MINA,900.0,0.0
274,20250501,202505,2025-05-01,7,26,MINA,900.0,0.0
275,20250501,202505,2025-05-01,7,25,MINA,900.0,0.0
276,20250501,202505,2025-05-01,2,5,SUPERFICIE,900.0,0.0
277,20250501,202505,2025-05-01,2,8,MINA,900.0,0.0
278,20250501,202505,2025-05-01,2,9,MINA,900.0,0.0
