equipo_sk,equipo_cd,codigo_sap,modelo_fabricante,fabricante,tipo_servicio,tipo_energia,horas_dia_planeadas,contrato_sk_asignado,estado_operativo
37,XRD150U-008,SAP-XRD150U-008,XRD150U-008,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
38,XRD150U-009,SAP-XRD150U-009,XRD150U-009,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
39,XRD220ST-003,SAP-XRD220ST-003,XRD220ST-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
40,XRD50UFDR-001,SAP-XRD50UFDR-001,XRD50UFDR-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
41,XRD50USS-002,SAP-XRD50USS-002,XRD50USS-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
42,XRD80USS-006,SAP-XRD80USS-006,XRD80USS-006,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
43,XRD90U-019,SAP-XRD90U-019,XRD90U-019,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,8,OPERATIVO
44,XRD80USS-012,SAP-XRD80USS-012,XRD80USS-012,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,9,OPERATIVO
45,LM75UFDR-002,SAP-LM75UFDR-002,LM75UFDR-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
46,XLM75UFDR-002,SAP-XLM75UFDR-002,XLM75UFDR-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
47,XLM75UFDR-004,SAP-XLM75UFDR-004,XLM75UFDR-004,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
48,XRD120ST-001,SAP-XRD120ST-001,XRD120ST-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
49,XRD150USS-001,SAP-XRD150USS-001,XRD150USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
50,XRD150USS-003,SAP-XRD150USS-003,XRD150USS-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
51,XRD80ITH-001,SAP-XRD80ITH-001,XRD80ITH-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,10,OPERATIVO
52,XRD100ST-001,SAP-XRD100ST-001,XRD100ST-001,ROCKDRILL,SUPERFICIE,ELECTRO-HIDRAULICA,24,11,OPERATIVO
53,CT20ST-002,SAP-CT20ST-002,CT20ST-002,ROCKDRILL,SUPERFICIE,DIESEL,24,12,OPERATIVO
54,CT20ST-003,SAP-CT20ST-003,CT20ST-003,ROCKDRILL,SUPERFICIE,DIESEL,24,12,OPERATIVO
55,XLM75UFDR-001,SAP-XLM75UFDR-001,XLM75UFDR-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
56,XRD150U-003,SAP-XRD150U-003,XRD150U-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
57,XRD150U-010,SAP-XRD150U-010,XRD150U-010,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
58,XRD150USS-004,SAP-XRD150USS-004,XRD150USS-004,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
59,XRD250U-001,SAP-XRD250U-001,XRD250U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
60,XRD80USS-008,SAP-XRD80USS-008,XRD80USS-008,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
61,XRD90U-012,SAP-XRD90U-012,XRD90U-012,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
62,XRD90U-016,SAP-XRD90U-016,XRD90U-016,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,12,OPERATIVO
63,XRD150U-001,SAP-XRD150U-001,XRD150U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,13,OPERATIVO
64,XRD150U-003,SAP-XRD150U-003,XRD150U-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,13,OPERATIVO
65,XRD150U-004,SAP-XRD150U-004,XRD150U-004,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,13,OPERATIVO
66,XRD150U-006,SAP-XRD150U-006,XRD150U-006,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,13,OPERATIVO
67,XRD150USS-002,SAP-XRD150USS-002,XRD150USS-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,14,OPERATIVO
68,XRD80USS-011,SAP-XRD80USS-011,XRD80USS-011,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,14,OPERATIVO
69,XRD90USS-005,SAP-XRD90USS-005,XRD90USS-005,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,14,OPERATIVO
