hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
2323,20260830,15,73,59,B,1.0,False,Stand By Inoperativo,20260830-RAURA-XRD90USS-004-B
2324,20260831,15,73,47,A,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2325,20260831,15,73,48,A,0.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2326,20260831,15,73,50,A,2.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2327,20260831,15,73,55,A,1.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2328,20260831,15,73,58,A,2.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2329,20260831,15,73,59,A,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2330,20260831,15,73,61,A,4.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-A
2331,20260831,15,73,1,B,4.0,True,Tiempo Efectivo - Operativo,20260831-RAURA-XRD90USS-004-B
2332,20260831,15,73,5,B,0.5,False,Mantenimiento,20260831-RAURA-XRD90USS-004-B
2333,20260831,15,73,7,B,0.5,True,Stand By Operativo,20260831-RAURA-XRD90USS-004-B
2334,20260831,15,73,8,B,0.5,True,Stand By Operativo,20260831-RAURA-XRD90USS-004-B
2335,20260831,15,73,20,B,1.0,True,Stand By Operativo,20260831-RAURA-XRD90USS-004-B
2336,20260831,15,73,47,B,0.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-B
2337,20260831,15,73,48,B,0.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-B
2338,20260831,15,73,50,B,0.5,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-B
2339,20260831,15,73,58,B,2.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-B
2340,20260831,15,73,59,B,1.0,False,Stand By Inoperativo,20260831-RAURA-XRD90USS-004-B
2341,20260831,15,73,82,B,1.0,True,Stand By Cliente,20260831-RAURA-XRD90USS-004-B
2342,20260826,15,72,1,A,5.0,True,Tiempo Efectivo - Operativo,20260826-RAURA-XRD90USS-001-A
2343,20260826,15,72,5,A,0.5,False,Mantenimiento,20260826-RAURA-XRD90USS-001-A
2344,20260826,15,72,8,A,0.5,True,Stand By Operativo,20260826-RAURA-XRD90USS-001-A
2345,20260826,15,72,9,A,0.5,True,Stand By Operativo,20260826-RAURA-XRD90USS-001-A
2346,20260826,15,72,47,A,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-A
2347,20260826,15,72,55,A,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-A
2348,20260826,15,72,58,A,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-A
2349,20260826,15,72,59,A,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-A
2350,20260826,15,72,68,A,1.0,True,Stand By Cliente,20260826-RAURA-XRD90USS-001-A
